Title,Ratings,Raters,Directors,Writers,Actors,Country,Language,Date,Budget,Openning Weekend,Gross USA,cumulative worldwide,Studios,Durations,Romance,Horror,Music,Fantasy,Mystery,Sci-Fi,Biography,Family,Drama,Sport,History,Thriller,Animation,Adventure,Crime,Musical,Western,War,Action,Comedy,Year,Month
Tenet,7.6,213736.0,Christopher Nolan,Christopher Nolan,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki']",UK,Norwegian,2020-08-27,205000000.0,20200000.0,57895000.0,362195000.0,"['Warner Bros.', 'Syncopy']",150.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020.0,8.0
Ava,5.4,28393.0,Tate Taylor,Matthew Newton,"['Jessica Chastain', 'John Malkovich', 'Common']",USA,English,2020-09-02,40000000.0,170349.0,497747.0,3217343.0,"['Freckle Films', 'Voltage Pictures']",96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2020.0,9.0
Love Actually,7.6,425479.0,Richard Curtis,Richard Curtis,"['Hugh Grant', 'Martine McCutcheon', 'Liam Neeson']",UK,English,2003-12-26,40000000.0,6886080.0,59696144.0,244977704.0,"['Universal Pictures', 'StudioCanal', 'Working Title Films']",135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2003.0,12.0
Elf,7.0,221528.0,Jon Favreau,David Berenbaum,"['Will Ferrell', 'James Caan', 'Bob Newhart']",USA,English,2003-11-27,33000000.0,32100000.0,176490408.0,223676374.0,"['New Line Cinema', 'Guy Walks into a Bar Productions', 'Gold/Miller Productions']",97.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2003.0,11.0
The Grinch,6.2,207558.0,Ron Howard,Dr. Seuss,"['Jim Carrey', 'Taylor Momsen', 'Kelley']",USA,English,2000-11-30,123000000.0,55082330.0,260435005.0,363563228.0,"['Universal Pictures', 'Imagine Entertainment', 'LUNI Productions GmbH and Company KG']",104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000.0,11.0
Mulan,5.6,88486.0,Niki Caro,Rick Jaffa,"['Yifei Liu', 'Donnie Yen', 'Li Gong']",USA,English,2020-09-04,200000000.0,14635269.5,53577751.0,66800000.0,"['Walt Disney Pictures', 'Jason T. Reed Productions', 'Good Fear Content']",115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2020.0,9.0
The Christmas Chronicles,7.1,54439.0,Clay Kaytis,Matt Lieberman,"['Kurt Russell', 'Darby Camp', 'Judah Lewis']",USA,English,2018-11-22,40000000.0,14635269.5,53577751.0,99666355.0,"['1492 Pictures', 'Madhouse Entertainment', 'Netflix']",104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2018.0,11.0
The Grinch,6.3,51095.0,"Yarrow Cheney, Scott Mosier",Michael LeSieur,"['Benedict Cumberbatch', 'Cameron Seely', 'Rashida Jones']",France,English,2018-11-29,75000000.0,67572855.0,271192781.0,512417245.0,"['Universal Pictures', 'Universal Animation Studios', 'Illumination Entertainment']",85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018.0,11.0
Sound of Metal,7.8,9431.0,Darius Marder,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci']",Belgium,English,2020-12-04,40000000.0,14635269.5,53577751.0,5595.0,['Caviar'],101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,12.0
The Polar Express,6.6,174204.0,Robert Zemeckis,Chris Van Allsburg,"['Tom Hanks', 'Chris Coppola', 'Michael Jeter']",USA,English,2004-11-18,165000000.0,23323463.0,187855490.0,314133635.0,"['Castle Rock Entertainment', 'Shangri-La Entertainment', 'Playtone']",100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2004.0,11.0
